"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","Cluster"
"491",0,82,203,491,821,1307,3985,6304,11253,12502,16872,20465,24514,28994,32869,38566,42817,48196,52877,58085,62310,64487,65655,67144,"Good"
"492",652,910,996,1426,1877,2801,4889,7174,8922,11759,14063,17197,24652,30999,37919,49890,59127,73965,85024,95146,107445,117724,125481,131970,"Bad"
"493",2614,4000,5113,6158,6738,9802,16380,20803,28573,33699,40866,47324,53817,61137,67092,75399,84561,95989,103122,110367,117472,122545,126727,127976,"Bad"
"494",326,930,980,1317,2313,3077,5694,9627,13308,19701,23394,27927,32188,36015,41780,46406,50482,56704,63953,68423,72541,74918,76286,77885,"Normal"
"499",169,521,619,1769,3660,4179,6512,8291,9095,10222,11642,12941,14442,16587,18916,22037,24683,27682,31764,34014,36067,36789,37438,37610,"Great"
"500",0,35,147,260,916,1582,4124,5247,7328,9245,11333,13105,16603,18877,22848,25791,29653,34029,38092,41460,46341,49779,51638,52730,"Good"
"503",564,795,1257,1617,1978,3120,4089,7446,11280,14225,17222,22741,28011,33510,43398,52916,61223,70176,81412,88018,94730,97844,100807,101285,"Normal"
"504",267,287,819,1309,2708,6163,9701,13013,18378,22059,29412,35241,42114,51126,61008,73612,84433,97125,109577,122013,130646,137258,141149,145065,"Bad"
"505",624,1153,2133,3737,4943,8024,13256,18204,26836,30755,36861,41184,46254,53210,58784,65348,72638,80031,88713,95879,101844,105093,107993,111899,"Bad"
"506",4293,6880,8397,10284,11616,13723,16235,18798,22846,29951,42656,52165,59473,70885,80204,86863,94337,102494,109670,114964,121368,125538,126990,127744,"Bad"
"507",492,500,630,840,1058,2710,6974,10182,12986,15561,17078,18513,20692,24198,27012,29798,32213,35361,38625,42022,44340,46122,47208,47265,"Great"
"508",0,289,1044,1213,2178,3782,6133,9216,13403,17510,23427,29433,35224,45930,55202,62961,73052,83796,92738,99523,105725,109512,113538,114747,"Bad"
"509",988,1009,1205,1578,3415,6172,9206,13587,17931,21957,26756,33863,39646,47973,54688,62106,69745,76581,83387,89188,95050,98023,99714,100086,"Normal"
"511",3,23,31,78,295,1371,3002,3794,5465,7126,9674,10788,13792,16478,18483,21267,26166,32516,38983,46485,55913,61546,69028,71135,"Good"
"512",2598,3666,4683,4843,6776,9173,11861,14365,17811,21544,25431,29710,33524,39789,47471,55592,64942,79844,96195,109799,119950,127011,132117,134777,"Bad"
"514",1272,4301,4627,6702,7938,10540,12920,16641,19471,22237,25497,30059,35724,40545,44441,49531,57382,66045,75486,89302,102258,109269,114883,116437,"Bad"
"515",1159,2722,2846,4652,7730,9650,13895,16441,22192,25354,29758,32852,36611,41380,47808,52372,59441,68452,77710,88336,97341,105377,110563,114369,"Bad"
"516",1493,1717,1907,4151,5737,10300,13894,17668,20968,23261,25431,27836,30000,33731,37135,41170,46044,50884,55887,61050,65096,68925,69920,70229,"Good"
"517",83,161,205,340,826,1475,3136,3886,5090,7892,10812,12662,16064,19802,24008,29409,34144,42520,50211,60407,65914,69908,72746,74177,"Good"
"518",508,524,622,877,1859,4634,6760,8546,11298,13210,16715,19292,21158,25881,32121,37940,49436,57857,69401,80502,90554,99190,102813,105397,"Normal"
"519",207,213,312,1242,2781,5290,7400,9541,11746,14443,15790,18457,22409,25668,29434,33633,38966,45146,52803,59078,64985,68812,71661,71854,"Good"
"524",553,625,912,1932,2251,3764,6537,8963,12363,19190,22610,26669,30722,35794,40134,43804,48305,53478,59146,68567,77450,83642,87298,89165,"Normal"
"525",1047,1109,1458,2483,3862,6596,8664,13441,19830,26061,32092,37326,42404,47258,53398,60194,66625,74330,81150,89060,93332,96301,98609,99881,"Normal"
"528",677,700,808,1113,2538,3396,5878,9387,14033,15845,20359,24417,28461,33297,39440,47886,54820,61510,69018,73370,79044,81765,83046,84214,"Normal"
"529",697,803,1261,2700,2935,4838,7413,9796,14883,19727,24196,31290,37961,44505,52236,59667,68197,76566,89329,99668,110535,117297,121690,123443,"Bad"
"530",146,917,1206,3166,3834,6241,8736,12276,14669,16891,20558,23958,29472,32375,36322,42272,51240,57106,66110,74089,81593,86828,90338,91996,"Normal"
"531",820,871,1571,2026,2957,5206,6668,9925,12556,14793,18382,23733,30996,38588,49181,59342,70831,82153,94672,106044,116246,122322,126191,127438,"Bad"
"532",1687,2378,3681,7362,9798,15347,19923,27439,33454,38687,46591,53754,60896,69771,78799,88409,102139,117805,134786,153879,168333,181946,189089,197164,"Meltdown"
"533",4237,7605,8389,9933,11615,18365,26720,33943,43507,55391,63610,74769,83462,92996,101732,110932,120891,133944,148660,165161,179382,191596,198822,203540,"Meltdown"
"534",1340,1614,2229,4229,6390,8488,12573,16794,23675,28558,35065,40429,47795,53400,63512,71579,85331,96938,112672,127510,142319,154256,162314,165886,"Meltdown"
"536",1815,2402,3405,4517,6279,8821,13974,18967,27907,33289,40426,47955,56678,64987,74430,86148,101004,114929,129854,144628,157862,168245,176076,179724,"Meltdown"
"537",2434,3605,4891,7144,7808,10271,16124,20227,25550,32266,39438,44792,52616,58306,65890,72916,83851,94571,105423,116665,131797,143808,151127,155699,"Meltdown"
"539",466,544,616,1693,3103,6286,10287,13954,18716,23161,27149,30984,36839,42294,47633,55693,63549,71242,82201,94691,104301,114992,120336,123896,"Bad"
"540",868,986,1028,1589,2968,6665,10981,16430,24372,31144,38761,46055,53397,59895,66233,73075,83644,94641,105950,120326,132735,141048,145633,147292,"Bad"
"541",1016,1744,3770,4632,6378,8831,17327,26124,33268,41987,52370,62054,74754,81918,93415,106647,121454,134894,149385,160068,171107,177916,182007,183261,"Meltdown"
"542",983,1293,1532,2770,3801,5862,10300,12974,17201,21176,25365,30842,34939,39407,46656,53868,63127,70165,77861,86790,95134,101319,103997,105304,"Normal"
"543",533,813,991,2159,2979,5739,7171,10048,12729,15911,19814,23247,27901,33022,41326,51012,59826,69880,82188,97304,108374,117814,121206,122709,"Bad"
"544",342,1159,1644,2301,3822,6140,9079,12610,18339,24284,29753,36626,48519,59431,70533,81947,91612,106480,124501,138234,151133,161907,166623,169503,"Meltdown"
"549",2511,3810,4569,6806,9023,11569,17729,27438,31396,41447,44333,48572,54348,59180,64717,71354,78612,87509,94387,100340,102616,104298,106374,107366,"Normal"
"550",305,333,447,899,1346,3726,5689,8111,9418,11864,14012,15931,18263,21620,23750,26363,31089,38056,45515,52166,59926,63313,67173,70151,"Good"
"553",2182,3436,4627,8632,13983,20901,28874,33421,41667,44649,51559,54989,62028,66976,73026,79043,83800,91803,99470,105502,114012,120200,126184,129000,"Bad"
"554",1200,1633,1989,2652,3062,4417,7089,10896,15499,19410,23736,29344,33008,39548,45705,53719,60019,65457,74332,83414,92902,99999,105753,109801,"Bad"
"555",957,1937,2138,2508,2980,7543,9628,11050,13937,17366,20444,23010,26753,30440,34077,37527,40660,43835,47082,51878,53794,55043,56107,56752,"Good"
"556",374,422,619,973,1379,4458,6377,9003,12008,14693,16083,18375,20674,23830,26376,30289,34087,38083,42646,47000,50076,51645,52910,53568,"Good"
"557",200,259,799,1102,2317,2954,4332,6673,9558,13926,17753,22119,27467,31777,40398,49173,57478,70021,84486,98133,107874,117705,124450,129621,"Bad"
"558",1469,2528,2640,5515,6613,10764,13978,19916,26831,33280,38526,43195,48338,52252,56789,64234,71997,82196,92812,102183,110736,117131,120669,122009,"Bad"
"559",975,991,1275,1808,3017,5337,7542,9726,13216,17053,20016,24441,29149,31616,35863,39024,43722,46351,51076,56408,61032,65868,67626,68962,"Good"
"561",795,2068,2202,2762,4185,6824,11298,13111,17084,19483,21834,25939,29312,34254,43020,53526,65139,74661,84496,94690,105231,111214,115529,117657,"Bad"
"562",1928,2397,2456,2750,3212,4995,8861,12812,16125,20708,26204,29976,34658,38007,43719,50534,58141,69669,77089,84906,92180,97800,98963,100845,"Normal"
"564",1174,2379,2903,4626,9591,12323,16966,23602,31768,40666,53272,68563,83963,97192,114262,129635,146864,170881,193602,212144,224330,238572,246838,252071,"Meltdown"
"565",2739,4129,6142,7022,9767,14464,22968,29947,38319,45504,51245,57063,62632,67382,74773,83183,89925,99088,107462,116106,122261,127514,129512,130728,"Bad"
"566",990,1780,2352,2822,3307,4364,10221,16578,20725,23604,27348,32145,35060,40633,44280,50223,56805,68990,82242,91489,98355,105656,109663,112230,"Bad"
"567",555,1753,1964,2351,3718,8747,13463,19014,27881,33381,40654,46374,54151,60629,70543,82474,95929,112169,127992,145843,159008,169540,177923,182373,"Meltdown"
"568",1739,3363,3651,5064,6546,10274,17233,22185,30726,35043,41265,45589,54524,61122,68819,74603,83638,91685,99832,111214,120159,132400,136824,138673,"Bad"
"569",1451,1914,3696,5592,6861,12871,22862,29741,35624,40762,47051,53150,58138,63003,68180,73869,79991,87433,94357,100261,106540,110069,112983,113915,"Bad"
